121,99,FURTO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
84,98,FURTO - OUTROS,Interior,002 DP - Itanhaem,Santos,Itanhaém
148,98,FURTO - OUTROS,Interior,DM - Bertioga,Santos,Bertioga
141,96,FURTO - OUTROS,Interior,003 DP - Praia Grande,Santos,Praia Grande
130,96,FURTO - OUTROS,Interior,007 DP - Santos,Santos,Santos
76,96,FURTO - OUTROS,Interior,001 DP - Rio Claro,Piracicaba,Rio Claro
179,96,ROUBO - OUTROS,Capital,098 DP - Jardim Míriam,CAPITAL,São Paulo
109,95,ROUBO - OUTROS,Capital,008 DP - Brás,CAPITAL,São Paulo
89,95,ROUBO - OUTROS,Grande São Paulo (exclui Capital),004 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
82,94,FURTO - OUTROS,Capital,026 DP - Sacomã,CAPITAL,São Paulo
56,94,ROUBO - OUTROS,Capital,056 DP - Vila Alpina,CAPITAL,São Paulo
112,94,ROUBO - OUTROS,Interior,002 DP - Praia Grande,Santos,Praia Grande
47,93,ROUBO - OUTROS,Capital,087 DP - Vila Pereira Barreto,CAPITAL,São Paulo
90,92,FURTO - OUTROS,Capital,103 DP - Cohab Itaquera,CAPITAL,São Paulo
110,92,FURTO - OUTROS,Grande São Paulo (exclui Capital),006 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
87,92,ROUBO - OUTROS,Capital,028 DP - Freguesia do Ó,CAPITAL,São Paulo
103,92,ROUBO - OUTROS,Grande São Paulo (exclui Capital),003 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
81,91,FURTO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Barueri,Grande São Paulo (exclui a Capital),Barueri
62,91,ROUBO - OUTROS,Capital,032 DP - Itaquera,CAPITAL,São Paulo
128,90,FURTO - OUTROS,Grande São Paulo (exclui Capital),003 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
83,90,FURTO - OUTROS,Interior,002 DP - Araçatuba,Araçatuba,Araçatuba
49,90,FURTO DE VEÍCULO,Capital,007 DP - Lapa,CAPITAL,São Paulo
89,90,ROUBO - OUTROS,Capital,069 DP - Teotônio Vilela,CAPITAL,São Paulo
105,89,FURTO DE VEÍCULO,Grande São Paulo (exclui Capital),001 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
72,89,ROUBO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Carapicuiba,Grande São Paulo (exclui a Capital),Carapicuíba
95,88,FURTO - OUTROS,Capital,072 DP - Vila Penteado,CAPITAL,São Paulo
90,88,FURTO - OUTROS,Grande São Paulo (exclui Capital),005 DP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
73,88,FURTO - OUTROS,Interior,005 DP - Sorocaba,Sorocaba,Sorocaba
142,88,ROUBO - OUTROS,Capital,074 DP - Jaraguá,CAPITAL,São Paulo
75,87,FURTO - OUTROS,Interior,001 DP - Indaiatuba,Campinas,Indaiatuba
117,87,FURTO - OUTROS,Interior,001 DP - São Vicente,Santos,São Vicente
57,87,FURTO - OUTROS,Interior,002 DP - São Vicente,Santos,São Vicente
107,87,ROUBO - OUTROS,Capital,046 DP - Perus,CAPITAL,São Paulo
89,87,ROUBO - OUTROS,Capital,022 DP - São Miguel Paulista,CAPITAL,São Paulo
92,87,ROUBO - OUTROS,Capital,024 DP - Ponte Rasa,CAPITAL,São Paulo
70,87,ROUBO - OUTROS,Grande São Paulo (exclui Capital),002 DP - Santo André,Grande São Paulo (exclui a Capital),Santo André
126,86,FURTO - OUTROS,Grande São Paulo (exclui Capital),Delegacia Aeroporto Int. SP - Guarulhos,Grande São Paulo (exclui a Capital),Guarulhos
121,86,ROUBO - OUTROS,Capital,005 DP - Aclimação,CAPITAL,São Paulo
77,85,FURTO - OUTROS,Interior,001 DP - Taubaté,São José dos Campos,Taubaté
60,85,ROUBO - OUTROS,Grande São Paulo (exclui Capital),008 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
116,84,FURTO - OUTROS,Interior,DM - Ubatuba,São José dos Campos,Ubatuba
54,84,ROUBO - OUTROS,Capital,042 DP - Parque São Lucas,CAPITAL,São Paulo
82,83,FURTO - OUTROS,Capital,043 DP - Cidade Ademar,CAPITAL,São Paulo
70,83,FURTO - OUTROS,Interior,DM - Caraguatatuba,São José dos Campos,Caraguatatuba
62,83,ROUBO - OUTROS,Grande São Paulo (exclui Capital),001 DP - São Bernardo do Campo,Grande São Paulo (exclui a Capital),São Bernardo do Campo
93,83,ROUBO - OUTROS,Interior,DM - Guarujá,Santos,Guarujá
89,82,FURTO - OUTROS,Capital,070 DP - Vila Ema,CAPITAL,São Paulo
98,82,FURTO - OUTROS,Interior,DM - Paulínea,Campinas,Paulínia
96,82,FURTO - OUTROS,Interior,001 DP - Limeira,Piracicaba,Limeira
82,82,ROUBO - OUTROS,Grande São Paulo (exclui Capital),001 DP - Carapicuiba,Grande São Paulo (exclui a Capital),Carapicuíba
105,82,ROUBO - OUTROS,Interior,001 DP - Campinas,Campinas,Campinas
120,81,FURTO - OUTROS,Grande São Paulo (exclui Capital),009 DP - Osasco,Grande São Paulo (exclui a Capital),Osasco
59,81,FURTO DE VEÍCULO,Capital,021 DP - Vila Matilde,CAPITAL,São Paulo
